time,soc,power
2017-08-08 19:15:00+00:00,21.0,8.0
2017-08-08 19:30:00+00:00,21.0,12.0
2017-08-08 19:45:00+00:00,21.0,4.0
2017-08-08 20:00:00+00:00,21.0,8.0
2017-08-08 20:15:00+00:00,21.0,8.0
2017-08-08 20:30:00+00:00,21.0,12.0
2017-08-08 20:45:00+00:00,21.0,8.0
2017-08-08 21:00:00+00:00,21.0,4.0
2017-08-08 21:15:00+00:00,21.0,12.0
2017-08-08 21:30:00+00:00,21.0,8.0
2017-08-08 21:45:00+00:00,21.0,8.0
2017-08-08 22:00:00+00:00,21.0,4.0
2017-08-08 22:15:00+00:00,21.0,8.0
2017-08-08 22:30:00+00:00,21.0,12.0
2017-08-08 22:45:00+00:00,21.0,8.0
2017-08-08 23:00:00+00:00,21.0,8.0
2017-08-08 23:15:00+00:00,21.0,4.0
2017-08-08 23:30:00+00:00,21.0,12.0
2017-08-08 23:45:00+00:00,21.0,8.0
2017-08-09 00:00:00+00:00,21.0,8.0
2017-08-09 00:15:00+00:00,21.0,8.0
2017-08-09 00:30:00+00:00,21.0,4.0
2017-08-09 00:45:00+00:00,21.0,8.0
2017-08-09 01:00:00+00:00,21.0,12.0
2017-08-09 01:15:00+00:00,21.0,8.0
2017-08-09 01:30:00+00:00,21.0,4.0
2017-08-09 01:45:00+00:00,21.0,8.0
2017-08-09 02:00:00+00:00,21.0,8.0
2017-08-09 02:15:00+00:00,21.0,8.0
2017-08-09 02:30:00+00:00,21.0,12.0
2017-08-09 02:45:00+00:00,21.0,4.0
2017-08-09 03:00:00+00:00,21.0,8.0
2017-08-09 03:15:00+00:00,21.0,8.0
2017-08-09 03:30:00+00:00,21.0,12.0
2017-08-09 03:45:00+00:00,21.0,4.0
2017-08-09 04:00:00+00:00,21.0,8.0
2017-08-09 04:15:00+00:00,21.0,12.0
2017-08-09 04:30:00+00:00,21.0,4.0
2017-08-09 04:45:00+00:00,21.0,8.0
2017-08-09 05:00:00+00:00,21.0,12.0
2017-08-09 05:15:00+00:00,21.0,4.0
2017-08-09 05:30:00+00:00,21.0,12.0
2017-08-09 05:45:00+00:00,21.0,8.0
2017-08-09 06:00:00+00:00,21.0,8.0
2017-08-09 06:15:00+00:00,21.0,8.0
2017-08-09 06:30:00+00:00,21.0,4.0
2017-08-09 06:45:00+00:00,21.0,12.0
2017-08-09 07:00:00+00:00,21.0,8.0
2017-08-09 07:15:00+00:00,21.0,4.0
2017-08-09 07:30:00+00:00,21.0,8.0
2017-08-09 07:45:00+00:00,21.0,12.0
2017-08-09 08:00:00+00:00,21.0,8.0
2017-08-09 08:15:00+00:00,21.0,4.0
2017-08-09 08:30:00+00:00,21.0,8.0
2017-08-09 08:45:00+00:00,21.0,12.0
2017-08-09 09:00:00+00:00,21.0,4.0
2017-08-09 09:15:00+00:00,21.0,8.0
2017-08-09 09:30:00+00:00,21.0,8.0
2017-08-09 09:45:00+00:00,21.0,8.0
2017-08-09 10:00:00+00:00,21.0,8.0
2017-08-09 10:15:00+00:00,21.0,8.0
2017-08-09 10:30:00+00:00,21.0,8.0
2017-08-09 10:45:00+00:00,21.0,4.0
2017-08-09 11:00:00+00:00,21.0,12.0
2017-08-09 11:15:00+00:00,21.0,8.0
2017-08-09 11:30:00+00:00,21.0,8.0
2017-08-09 11:45:00+00:00,21.0,8.0
2017-08-09 12:00:00+00:00,21.0,8.0
2017-08-09 12:15:00+00:00,6.0,8.0
2017-08-09 12:30:00+00:00,6.0,8.0
2017-08-09 12:45:00+00:00,6.0,8.0
2017-08-09 13:00:00+00:00,6.0,8.0
2017-08-09 13:15:00+00:00,6.0,4.0
2017-08-09 13:30:00+00:00,6.0,12.0
2017-08-09 13:45:00+00:00,6.0,8.0
2017-08-09 14:00:00+00:00,6.0,4.0
2017-08-09 14:15:00+00:00,6.0,8.0
2017-08-09 14:30:00+00:00,6.0,12.0
